Date,Close,High,Low,Open,Volume,Return,MA5,MA10,Volatility,Momentum,RSI,MACD,Price_vs_MA10,Momentum_Return,Trend,Distance_MA10,Distance_MA20,Target
2015-01-30,26.435791015625,26.70038623532244,25.496106527405004,25.51292288990181,112127002,0.046723946614538825,25.80689392089844,25.798683738708498,0.029514297520419303,-0.2685508728027308,67.77932056440011,0.08071749955385599,1.024695340404541,-0.008379074667716258,1.0003182403518371,0.02469534040454091,0.04313283709447946,0
2015-02-02,26.137067794799805,26.36061244541352,25.64595780643306,26.297802232954343,56996054,-0.011299953939287621,25.740324783325196,25.899575805664064,0.029687022661119333,-0.33284568786621094,66.29178194922571,0.1107545002605157,1.0091697250533271,-0.010900366068111511,0.9938512111729629,0.009169725053327138,0.030976281957259655,1
2015-02-03,26.17465591430664,26.38039668800156,25.878902487973136,26.11332888276849,40773638,0.0014381153923590517,25.845272064208984,26.010062980651856,0.024994314748848823,0.5247364044189489,65.39104437094394,0.13602408584307923,1.0063280482549088,0.021516089065150013,0.993664339968517,0.006328048254908847,0.030913380511750743,0
2015-02-04,25.854175567626957,26.34439455769567,25.780485509118133,26.17465694654532,33273101,-0.012243918228721173,25.97148666381836,26.03340702056885,0.024135986782697145,0.631072998046875,60.02380552931106,0.1287066783923727,0.9931153285929774,0.02591225971246125,0.9976215039122015,-0.006884671407022647,0.01623224327910644,1
2015-02-05,26.09255599975586,26.13805798085072,25.82103675675414,25.9051147771183,36995292,0.009220190816193963,26.13884925842285,25.999726676940917,0.024076973301045412,0.8368129730224609,61.40238760141448,0.1405230269311062,1.003570396103328,0.033838380655083045,1.0053509247697332,0.0035703961033279885,0.022969159937950012,1
2015-02-06,26.261703491210938,26.56833679427448,26.03469488332176,26.09552815800224,35270570,0.006482595704945915,26.10403175354004,25.955462837219237,0.009981320411751083,-0.1740875244140625,60.397371292051574,0.16167269502561155,1.0117986974808464,-0.0064029702545098655,1.0057239941068499,0.011798697480846387,0.026781512528275098,0
2015-02-09,26.104921340942383,26.311157768263914,26.015404345409657,26.1133285755708,25355423,-0.005969991639004912,26.097602462768556,25.918963623046874,0.008866061783424231,-0.032146453857421875,59.326253736791095,0.1638936857332034,1.007174581538058,-0.0010730079542271564,1.0068922061205734,0.007174581538057945,0.017536946249361973,1
2015-02-10,26.55547523498535,26.59306374735161,26.05991565846772,26.177622621622188,34997823,0.01725934693150477,26.173766326904296,26.009519195556642,0.011905600953354929,0.38081932067871094,58.57687144834784,0.19970766503480064,1.0209906240605162,0.014748223584918563,1.006314885335355,0.020990624060516216,0.030688967691678393,0
2015-02-11,26.50749969482422,26.63015374632505,26.37930640368378,26.47436263146104,27555446,-0.0018066157632881108,26.30443115234375,26.137958908081053,0.009178283315280356,0.6533241271972621,50.83331095874692,0.22166407108405295,1.0141380889013838,0.025185526050351625,1.0063689840835746,0.014138088901383794,0.02491279966273141,1
2015-02-12,26.851720809936523,26.94519548324695,26.44335510448995,26.57080680942667,32404724,0.01298580096483093,26.456264114379884,26.297556686401368,0.00974437188223928,0.7591648101806641,51.548820239516054,0.26379953148961377,1.0210728369233526,0.028951136198988592,1.0060350636323787,0.0210728369233526,0.03406365262222999,1
2015-02-13,27.15241813659668,27.19692879952969,26.861609967802053,26.87249169736643,38006060,0.01119843785016883,26.63440704345703,26.369219398498537,0.010051525605652716,0.8907146453857422,57.0739813640014,0.31779263300543903,1.0297012484997086,0.03366697834421151,1.0100567119925286,0.029701248499708566,0.04096260358339432,0
2015-02-17,26.847272872924805,27.2013850744693,26.76072224427841,27.044606414421565,32336537,-0.011238235288539289,26.782877349853514,26.440239906311035,0.011834116569788168,0.7423515319824219,63.892988064244086,0.33213127973483836,1.0153944505819938,0.02839873469467713,1.0129589385253912,0.015394450581993846,0.025883355060506208,0
2015-02-18,26.69197654724121,26.97833331310808,26.58366435086834,26.776054568364987,29061570,-0.005784435775605612,26.810177612304688,26.491971969604492,0.010622175212536568,0.13650131225585938,68.18958036418228,0.327191979485562,1.0075496296714415,0.005354951987566747,1.0120113988896444,0.00754962967144146,0.016797789743991043,1
2015-02-19,26.8487548828125,26.860624142274137,26.60839386553811,26.60987705001658,19782163,0.00587361281746257,26.878428649902343,26.591429901123046,0.010657272254952315,0.34125518798828125,69.13841532801926,0.33210000771776294,1.0096769892648227,0.013035180568317428,1.0107929039486205,0.009676989264822744,0.020383395116820857,0
2015-02-20,26.654882431030277,26.89227707094101,26.499091311799692,26.86161261129792,28887092,-0.00722091034122152,26.839060974121093,26.647662544250487,0.009506804707520477,-0.19683837890624645,53.4495609780709,0.31669510482056396,1.0002709388400504,-0.007171530737735021,1.0071825598043647,0.00027093884005036095,0.012581357796988879,0
2015-02-23,26.30670547485352,26.530696597246504,26.183061996929204,26.51145681925042,29157834,-0.013062408250258395,26.66991844177246,26.652162742614745,0.007406519929853471,-0.8457126617431605,52.6299634687048,0.2732418755072814,0.9870383026286693,-0.031432376838162246,1.0006662010632752,-0.012961697371330683,0.00010997207741825221,1
