Date,Close,High,Low,Open,Volume
2015-01-02,39.76768493652344,40.32899090171103,39.58058511096881,39.68263985620423,27913900
2015-01-05,39.4019889831543,39.74217255290114,39.333950322647794,39.43600506914566,39673900
2015-01-06,38.823673248291016,39.75918211807027,38.730121712460715,39.44451142467352,36447900
2015-01-07,39.31694793701172,39.51255425579138,38.687606432114116,39.10433194995611,29114100
2015-01-08,40.47357177734375,40.60964585357478,39.733669190603884,39.759182066065364,29645200
2015-01-09,40.133384704589844,40.66917779564242,39.88675267344921,40.49058118004552,23944200
2015-01-12,39.631614685058594,40.43105279193998,39.42750517489556,40.32899479259629,23651900
2015-01-13,39.42750930786133,40.74572778374153,39.17237077128169,39.946292837322005,35270600
2015-01-14,39.08732986450195,39.32546202229964,38.79817193624008,39.08732986450195,29719600
2015-01-15,38.679100036621094,39.44451888892898,38.61956781969298,39.30844478677008,32750800
2015-01-16,39.32544708251953,39.3594631684852,38.41544784237261,38.53451549816908,35695300
2015-01-20,39.45301055908203,39.67413293806558,38.75563058400139,39.37646869624335,36161900
2015-01-21,39.05329513549805,39.240398204855296,38.679092241045396,39.07030480037251,39081100
2015-01-22,40.082366943359375,40.09087015539904,39.1893804431197,39.44451897972211,35898000
2015-01-23,40.124900817871094,40.30349751947782,39.80172351668027,40.27798463189499,26211600
2015-01-26,39.98029708862305,40.082355068438005,39.325442894915575,39.97179387910258,42525500
2015-01-27,36.280792236328125,36.74004355123086,35.813037709340165,36.527427562212466,169164000
2015-01-28,35.03061294555664,36.39135736799653,35.00510006229797,36.34883481447778,84507100
2015-01-29,35.72798538208008,35.821536925895444,34.69042167749857,34.80948609898643,63585300
2015-01-30,34.35873794555664,35.362285463623955,34.31621216122655,35.33676934417353,78004900
2015-02-02,35.10714340209961,35.18368527120205,34.21415709207899,34.52032456848876,50352500
2015-02-03,35.379295349121094,35.659949980728776,34.91154087403713,35.404811471070445,52082400
2015-02-04,35.583412170410156,35.89808292681198,35.17518985944664,35.66845726859577,41614800
2015-02-05,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,36.068172454833984,36.3913496325542,35.84705327698048,36.29779808814081,34616600
2015-02-09,36.0256462097168,36.348823354239514,35.898075345118876,35.92359146459557,31381100
2015-02-10,36.22976303100586,36.374343589756656,35.87256972867303,36.348830709379314,29670700
2015-02-11,36.04264450073242,36.27227003798925,35.89806401686219,36.27227003798925,38262500
2015-02-12,36.646480560302734,36.646480560302734,36.1532100624745,36.28078091377809,33268800
2015-02-13,37.30984878540039,37.30984878540039,36.69751700974504,36.89312330904932,40264900
2015-02-17,37.32698059082031,37.68671585565985,36.99293650116183,37.66102141312853,33695700
2015-02-18,37.284156799316406,37.42976628224934,37.16424502946027,37.369810397321274,27111700
2015-02-19,37.258460998535156,37.284155443326796,36.87302798990778,36.98437602958915,27603400
2015-02-20,37.566802978515625,37.58393369547487,37.07858898090292,37.2670203327542,29721100
2015-02-23,37.815189361572266,37.84944752441552,37.386931286208366,37.429756440274794,32518800
2015-02-24,37.763797760009766,37.943665370088404,37.61818831326764,37.81518990603932,25271700
2015-02-25,37.678165435791016,37.76381578604107,37.51542519602392,37.643903988750424,29759800
2015-02-26,37.73811340332031,37.8837196216148,37.59250391767508,37.67815751727544,28957300
2015-02-27,37.558231353759766,37.85801396254465,37.39549446374495,37.79805809425763,33807700
2015-03-02,37.58392333984375,37.84944121117744,37.30127148892163,37.40405249500728,31924000
2015-03-03,37.07002639770508,37.54111300173783,36.907289468262306,37.30985319630827,31748600
2015-03-04,36.88158416748047,37.010059621113555,36.727411009241074,36.83875574891984,25748700
2015-03-05,36.92441177368164,37.03575978811319,36.67602130585351,36.89015034349504,23193500
2015-03-06,36.28202438354492,36.92441149156137,36.102156777464266,36.83019419294299,36248800
2015-03-09,36.70170974731445,36.94153645208026,36.13640931101175,36.13640931101175,32108000
2015-03-10,35.99937438964844,36.58180565974298,35.99937438964844,36.27345930882823,39159700
