Date,Close,High,Low,Open,Volume,Return,MA5,MA10,Volatility,Momentum,RSI,MACD,Price_vs_MA10,Momentum_Return,Trend,Distance_MA10,Distance_MA20,Target
2015-01-30,34.35874557495117,35.362293315857286,34.316219781178184,35.33677719074098,78004900,-0.03832432190034463,36.27568664550781,37.941742706298825,0.04238818370445552,-5.766143798828125,23.41443247984114,-0.986206253454462,0.9055658260327397,-0.14901162452180083,0.9560891002374957,-0.09443417396726028,-0.11236084866130891,1
2015-02-02,35.10713577270508,35.18367762517364,34.21414965674597,34.5203170666202,50352500,0.02178165079168415,35.30105285644531,37.51991271972656,0.04752018978757376,-4.8731689453125,29.632477693137247,-1.1040292675231314,0.9356934285789813,-0.12362660788865965,0.940861806373162,-0.0643065714210187,-0.08753341691200878,1
2015-02-03,35.379295349121094,35.659949980728776,34.91154087403713,35.404811471070445,52082400,0.007752258064516182,35.12075500488281,37.112540054321286,0.02948753912387728,-0.9014892578125071,31.887464601419495,-1.1620484802272415,0.9532975996074842,-0.023340785180831825,0.9463312118619982,-0.04670240039251583,-0.0756274169924539,1
2015-02-04,35.58339309692383,35.89806368465525,35.17517100477638,35.66843814952341,41614800,0.005768847168625246,35.23131332397461,36.76554946899414,0.024371473909961448,0.5527915954589844,34.129396214352965,-1.1779811088148335,0.9678460844691776,0.016886608543863035,0.9582697343796422,-0.03215391553082236,-0.06634267088786161,1
2015-02-05,36.10219955444336,36.26378655593304,35.60042563540786,35.90659321234652,36548200,0.014580016473032309,35.30615386962891,36.36753463745117,0.023571319370141244,0.3742027282714844,38.444065813378224,-1.135653381224465,0.9927040673597223,0.011558450597513259,0.9708151575738307,-0.007295932640277725,-0.0487178994779337,0
2015-02-06,36.06816482543945,36.39134193479895,35.84704569435864,36.29779041017424,34616600,-0.0009427328368893928,35.64803771972656,35.96186218261719,0.008692777794193512,1.7094192504882812,34.544125611447924,-1.092263733930622,1.002955982709751,0.04894003966096849,0.991273408999317,0.0029559827097509483,-0.044066401252592646,0
2015-02-09,36.025634765625,36.3488118074856,35.89806394155189,35.92358005292301,31381100,-0.0011791578534778857,35.83173751831055,35.56639518737793,0.006581205298392247,0.9184989929199219,33.604574308238796,-1.0492142573872485,1.0129121766720415,0.02597923101580646,1.0074604786213135,0.012912176672041475,-0.039967668417320246,1
2015-02-10,36.229759216308594,36.37433975983624,35.87256595158529,36.3488268821452,29670700,0.0056660889394895,36.00183029174805,35.56129264831543,0.006443301153541081,0.8504638671875,36.235589818813686,-0.9872457454267973,1.0187975891260193,0.023893061890779776,1.012388122326973,0.018797589126019254,-0.03013188227290553,0
2015-02-11,36.04264831542969,36.27227387698973,35.89806781625729,36.27227387698973,38262500,-0.005164563743351613,36.09368133544922,35.66249732971191,0.007746657515179223,0.4592552185058594,28.545855677538427,-0.9423704789133467,1.0106596849402651,0.012959650978802917,1.0120906845572497,0.010659684940265146,-0.03074953283655446,1
2015-02-12,36.64649963378906,36.64649963378906,36.153228879227086,36.2807997969278,33268800,0.016753799917107237,36.20254135131836,35.75434761047363,0.008601483667813777,0.5443000793457031,32.566279908793305,-0.8483020540674318,1.024952266869333,0.015133434422877845,1.0125353634116774,0.02495226686933294,-0.011265971657178464,1
2015-02-13,37.30983352661133,37.30983352661133,36.697502001384265,36.89310822069049,40264900,0.01810088001448995,36.45087509155273,36.049456405639646,0.010426951288090246,1.241668701171875,37.277156501327084,-0.7120189371217975,1.0349624445592058,0.03417704727425719,1.011135221607677,0.03496244455920583,0.00849382019520184,1
