Date,Close,High,Low,Open,Volume
2015-01-02,170.58961486816406,171.7937088796066,169.55161152791302,171.3785075435062,121465900
2015-01-05,167.5087890625,169.70935056327772,167.20154419999722,169.5432726016799,169632600
2015-01-06,165.93106079101562,168.3392233667999,165.13386868532214,167.81606565147172,209151400
2015-01-07,167.99876403808594,168.33923217765732,166.81129428862295,167.25970616027502,125346700
2015-01-08,170.97991943359375,171.19583225581977,169.3938598269918,169.41045875874744,147217800
2015-01-09,169.6096954345703,171.41166717767135,168.99519307806864,171.39505558129687,158567300
2015-01-12,168.2810821533203,169.90037736326255,167.67489180198814,169.74259884160148,144396100
2015-01-13,167.80776977539062,170.63113372951398,166.50403152706838,169.50178561367687,214553300
2015-01-14,166.794677734375,166.99397893304638,164.89306123027387,165.78988494694778,192991100
2015-01-15,165.2667236328125,167.74961921677988,165.15046777942544,167.43407485526512,176613900
2015-01-16,167.43411254882812,167.59189110057423,164.87647052758666,165.05916014845678,211879600
2015-01-20,167.79119873046875,168.3392676553915,166.22173784251143,168.0735326599349,130991100
2015-01-21,168.6382293701172,169.11986459238716,166.86116759805915,167.32619121378377,122942700
2015-01-22,171.14599609375,171.27885089160938,168.01537446648058,169.39384594565314,174356000
2015-01-23,170.2076416015625,171.14600070268122,170.07477412918576,170.88856522334896,117516800
2015-01-26,170.606201171875,170.69754595911,169.27756469592828,169.99171139496443,92009700
2015-01-27,168.3558349609375,169.50178198222102,167.52543232505212,168.5468240193283,134044600
2015-01-28,166.1968231201172,169.6429898217608,166.0058340156665,169.5433455361242,168514300
2015-01-29,167.7330322265625,167.9904550151743,164.98438887060598,166.396083481987,173585400
2015-01-30,165.62384033203125,167.8825370217964,165.35811801785144,166.55390010901434,197729700
2015-02-02,167.67494201660156,167.7662868369747,164.303508471643,166.12209274119994,163107000
2015-02-03,170.0996856689453,170.10799780532918,168.1980690651613,168.57174774518685,124212900
2015-02-04,169.45193481445312,170.54807221391522,168.99521089801058,169.33567896944382,134306700
2015-02-05,171.16261291503906,171.31209200079672,170.04157679108897,170.11630999849754,97953200
2015-02-06,170.68927001953125,172.0926525482205,170.1661122868168,171.52797214814254,125672000
2015-02-09,169.92529296875,170.76399505727906,169.51839112153613,170.04154882924846,87219000
2015-02-10,171.73561096191406,171.99303381743493,169.9668488410305,170.96334239535142,96164200
2015-02-11,171.83518981933594,172.2670026837243,170.92175463693937,171.56946759805336,91087800
2015-02-12,173.4877471923828,173.54588146900602,171.86846430636157,172.63243334307566,97545900
2015-02-13,174.20187377929688,174.2516959129132,173.35485949500125,173.6122949702512,93670400
2015-02-17,174.47592163085938,174.65031178289502,173.63721941815933,173.88633010543833,76968200
2015-02-18,174.49253845214844,174.56727166056717,173.83651316685336,174.10224813581863,80652900
2015-02-19,174.3679962158203,174.73337551670204,173.75350618337615,173.89467315490907,91462500
2015-02-20,175.41427612304688,175.4890093272425,173.32995717469723,173.9527592182076,140896400
2015-02-23,175.389404296875,175.389404296875,174.78320104914857,175.16519196318245,74411100
2015-02-24,175.88760375976562,176.0869049805219,175.01567834149998,175.3146238371642,72472300
2015-02-25,175.7381591796875,176.24470542496607,175.39769097020118,175.76307025150925,73061700
2015-02-26,175.530517578125,175.8045519752709,174.92431451583,175.64677344319244,72697900
2015-02-27,174.9326629638672,175.6966320458844,174.8828408214876,175.43089705860453,108076000
2015-03-02,176.03713989257812,176.09526151479682,174.9825245145782,175.03234666817838,87491400
2015-03-03,175.3146514892578,176.08693275442616,174.45103807164506,175.60529756483626,110325800
2015-03-04,174.57554626464844,174.79145906391878,173.60397668074862,174.71671319520425,114497200
2015-03-05,174.76654052734375,175.0488743763866,174.2599944236194,174.89939531628613,76873000
2015-03-06,172.30857849121094,174.33476332106056,171.97642244442355,173.90295032348416,188128000
2015-03-09,173.02272033691406,173.37978744322373,172.35009612572375,172.50787467816406,89818900
2015-03-10,170.21595764160156,171.7355962436674,170.17443496857317,171.65256356855141,157121300
2015-03-11,169.81735229492188,170.64775499563052,169.73430695647514,170.47336485326827,110145700
2015-03-12,171.97640991210938,172.0428309798738,170.39863712749272,170.44845926378608,93993500
